"idstudent";"Comfortable";"Independence";"Confidence";"Concentration_T";"Concentration_S";"Actions";"Social_adult";"Social_peer";"Rules";"Culture";"Communications";"math";"reading";"phonetics";"numberschool";"nameschool";"typeschool";"gender";"typecity";"agemonths";"ageyears";"code_sch"
500107;"4";"5";"4";"5";"5";"5";4;4;"5";"4";"4";44,94;55,84;44,54;13;"МАОУ СОШ №  5  г. С                                                                                                                                                                                    ";"Углублённое изучение предметов";"ж";"город";84;7;"МАОУ СОШ №  5  г. Старая Русса"
500108;"4";"4";"3";"3";"3";"3";5;5;"3";"2";"3";42,53;26,68;37,23;13;"МАОУ СОШ №  5  г. С                                                                                                                                                                                    ";"Углублённое изучение предметов";"м";"город";85;7,08333333333333;"МАОУ СОШ №  5  г. Старая Русса"
500109;"4";"4";"4";"3";"3";"3";5;5;"3";"3";"3";44,94;54,97;33,03;13;"МАОУ СОШ №  5  г. С                                                                                                                                                                                    ";"Углублённое изучение предметов";"м";"город";87;7,25;"МАОУ СОШ №  5  г. Старая Русса"
500110;"4";"3";"3";"4";"4";"4";5;5;"3";"2";"4";42,53;54,13;48,07;13;"МАОУ СОШ №  5  г. С                                                                                                                                                                                    ";"Углублённое изучение предметов";"м";"город";89;7,41666666666667;"МАОУ СОШ №  5  г. Старая Русса"
500111;"4";"5";"3";"5";"5";"3";2;4;"4";"4";"4";74;61,63;67,82;13;"МАОУ СОШ №  5  г. С                                                                                                                                                                                    ";"Углублённое изучение предметов";"м";"город";92;7,66666666666667;"МАОУ СОШ №  5  г. Старая Русса"
500112;"4";"5";"5";"5";"5";"5";5;5;"5";"4";"5";49,65;57,96;55,8;13;"МАОУ СОШ №  5  г. С                                                                                                                                                                                    ";"Углублённое изучение предметов";"ж";"город";83;6,91666666666667;"МАОУ СОШ №  5  г. Старая Русса"
500113;"4";"5";"4";"4";"4";"5";5;5;"5";"4";"5";59,59;65,11;67,82;13;"МАОУ СОШ №  5  г. С                                                                                                                                                                                    ";"Углублённое изучение предметов";"ж";"город";92;7,66666666666667;"МАОУ СОШ №  5  г. Старая Русса"
500114;"5";"5";"4";"4";"4";"4";5;4;"5";"3";"4";65,59;65,11;48,07;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"м";"город";84;7;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500115;"5";"5";"5";"4";"4";"4";5;5;"4";"3";"4";52;57,96;51,76;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"ж";"город";93;7,75;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500116;"4";"4";"3";"2";"2";"2";3;3;"3";"2";"2";37,24;26,68;44,54;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"м";"город";80;6,66666666666667;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500117;"5";"5";"5";"4";"4";"5";5;4;"5";"3";"4";47,29;65,11;67,82;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"ж";"город";88;7,33333333333333;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500118;"5";"5";"5";"5";"5";"5";5;5;"4";"4";"5";65,59;59,4;60,67;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"ж";"город";87;7,25;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500119;"5";"4";"4";"3";"4";"3";4;5;"4";"2";"3";49,65;54,97;44,54;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"м";"город";88;7,33333333333333;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500120;"5";"4";"5";"4";"5";"5";5;5;"4";"4";"4";56,94;54,97;60,67;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"м";"город";86;7,16666666666667;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500121;"4";"4";"4";"3";"3";"4";4;4;"3";"3";"3";40;53,34;67,82;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"ж";"город";NA;NA;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500122;"4";"4";"4";"3";"3";"4";4;4;"4";"3";"3";56,94;48,72;60,67;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"ж";"город";90;7,5;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500123;"3";"2";"3";"2";"2";"4";4;3;"4";"2";"2";42,53;38,15;48,07;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"ж";"город";81;6,75;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500124;"5";"5";"5";"4";"4";"4";5;5;"4";"4";"5";56,94;61,63;67,82;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"м";"город";80;6,66666666666667;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500125;"4";"4";"5";"3";"3";"3";4;4;"3";"3";"3";54,41;56,85;44,54;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"м";"город";90;7,5;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500126;"4";"3";"4";"3";"3";"4";4;5;"4";"3";"4";47,29;52,61;48,07;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"м";"город";89;7,41666666666667;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500127;"4";"4";"4";"4";"4";"4";5;4;"5";"3";"4";54,41;65,11;48,07;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"ж";"город";82;6,83333333333333;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500128;"4";"4";"4";"4";"4";"4";4;4;"4";"2";"4";56,94;57,96;60,67;12;"МАОУ  ""Средняя общеобразовательная школа №2 им. Паустовского""                                                                                                  ";"Углублённое изучение предметов";"ж";"город";89;7,41666666666667;"МАОУ  ""Средняя общеобразовательная школа №2 им. Ф.М. Достоевского"""
500129;"5";"5";"2";"1";"2";"2";2;3;"3";"1";"2";23;12,61;28,15;11;"МАОУ «Средняя общеобразовательная школа» с.Волк                                                                                                                         ";"общеобразовательная школа";"м";"поселок";86;7,16666666666667;"МАОУ «Средняя общеобразовательная школа» с.Медведь"
500130;"4";"5";"3";"5";"4";"4";3;4;"5";"4";"5";49,65;57,96;55,8;11;"МАОУ «Средняя общеобразовательная школа» с.Волк                                                                                                                         ";"общеобразовательная школа";"м";"поселок";88;7,33333333333333;"МАОУ «Средняя общеобразовательная школа» с.Медведь"
500131;"3";"4";"3";"4";"3";"4";3;4;"5";"3";"4";37,24;28,83;44,54;11;"МАОУ «Средняя общеобразовательная школа» с.Волк                                                                                                                         ";"общеобразовательная школа";"ж";"поселок";82;6,83333333333333;"МАОУ «Средняя общеобразовательная школа» с.Медведь"
500132;"3";"3";"2";"3";"2";"4";2;2;"5";"2";"2";42,53;39,02;48,07;11;"МАОУ «Средняя общеобразовательная школа» с.Волк                                                                                                                         ";"общеобразовательная школа";"м";"поселок";86;7,16666666666667;"МАОУ «Средняя общеобразовательная школа» с.Медведь"
500133;"4";"4";"3";"3";"3";"4";4;5;"4";"2";"4";44,94;39,89;55,8;11;"МАОУ «Средняя общеобразовательная школа» с.Волк                                                                                                                         ";"общеобразовательная школа";"ж";"поселок";91;7,58333333333333;"МАОУ «Средняя общеобразовательная школа» с.Медведь"
500134;"4";"5";"4";"4";"4";"4";4;4;"4";"3";"5";56,94;56,85;55,8;11;"МАОУ «Средняя общеобразовательная школа» с.Волк                                                                                                                         ";"общеобразовательная школа";"ж";"поселок";86;7,16666666666667;"МАОУ «Средняя общеобразовательная школа» с.Медведь"
500135;"4";"5";"3";"2";"2";"3";3;5;"5";"1";"3";37,24;20,52;48,07;11;"МАОУ «Средняя общеобразовательная школа» с.Волк                                                                                                                         ";"общеобразовательная школа";"ж";"поселок";80;6,66666666666667;"МАОУ «Средняя общеобразовательная школа» с.Медведь"
500136;"5";"5";"4";"4";"4";"5";4;5;"5";"4";"5";49,65;59,4;55,8;11;"МАОУ «Средняя общеобразовательная школа» с.Волк                                                                                                                         ";"общеобразовательная школа";"ж";"поселок";82;6,83333333333333;"МАОУ «Средняя общеобразовательная школа» с.Медведь"
500137;"5";"5";"4";"3";"2";"3";2;4;"2";"3";"4";44,94;50,54;55,8;11;"МАОУ «Средняя общеобразовательная школа» с.Волк                                                                                                                         ";"общеобразовательная школа";"м";"поселок";87;7,25;"МАОУ «Средняя общеобразовательная школа» с.Медведь"
500138;"5";"3";"5";"4";"4";"4";4;4;"5";"3";"5";56,94;55,84;60,67;11;"МАОУ «Средняя общеобразовательная школа» с.Волк                                                                                                                         ";"общеобразовательная школа";"м";"поселок";86;7,16666666666667;"МАОУ «Средняя общеобразовательная школа» с.Медведь"
500139;"4";"4";"2";"1";"2";"2";2;3;"5";"1";"1";29,71;12,61;33,03;11;"МАОУ «Средняя общеобразовательная школа» с.Волк                                                                                                                         ";"общеобразовательная школа";"ж";"поселок";86;7,16666666666667;"МАОУ «Средняя общеобразовательная школа» с.Медведь"
500140;"4";"4";"3";"2";"4";"2";2;3;"3";"2";"3";62,41;65,11;51,76;11;"МАОУ «Средняя общеобразовательная школа» с.Волк                                                                                                                         ";"общеобразовательная школа";"м";"поселок";87;7,25;"МАОУ «Средняя общеобразовательная школа» с.Медведь"
500141;"4";"4";"3";"3";"4";"4";5;5;"4";"4";"4";44,94;56,85;44,54;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"м";"поселок";80;6,66666666666667;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500142;"5";"5";"5";"4";"4";"4";5;5;"4";"4";"4";37,24;35,6;37,23;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";81;6,75;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500143;"3";"4";"4";"5";"4";"5";5;5;"5";"4";"4";65,59;51,88;51,76;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"м";"поселок";90;7,5;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500144;"2";"1";"3";"3";"2";"3";5;5;"3";"4";"5";40;40,73;60,67;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"м";"поселок";73;6,08333333333333;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500145;"5";"2";"2";"2";"2";"2";3;4;"2";"2";"1";40;38,15;33,03;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"м";"поселок";85;7,08333333333333;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500146;"5";"5";"5";"5";"5";"5";5;5;"5";"5";"5";49,65;43,51;60,67;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";86;7,16666666666667;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500147;"5";"5";"5";"5";"5";"5";5;5;"5";"5";"5";47,29;57,96;55,8;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";77;6,41666666666667;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500148;"4";"5";"5";"5";"4";"5";5;5;"5";"5";"5";49,65;47,15;51,76;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";78;6,5;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500149;"4";"5";"4";"4";"5";"5";5;5;"5";"5";"5";47,29;59,4;51,76;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";86;7,16666666666667;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500150;"2";"1";"2";"1";"2";"2";2;3;"2";"3";"2";33,94;12,61;22,02;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"м";"поселок";83;6,91666666666667;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500151;"3";"5";"4";"3";"2";"2";3;4;"3";"3";"4";44,94;46,63;51,76;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"м";"поселок";85;7,08333333333333;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500152;"3";"3";"3";"2";"1";"1";3;4;"1";"3";"4";42,53;42,23;48,07;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"м";"поселок";85;7,08333333333333;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500153;"5";"4";"5";"5";"5";"5";5;5;"5";"5";"5";59,59;39,89;67,82;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";86;7,16666666666667;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500154;"4";"4";"2";"2";"2";"2";3;4;"4";"3";"3";47,29;12,61;37,23;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"м";"поселок";87;7,25;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500155;"3";"5";"1";"3";"2";"3";3;4;"2";"4";"3";42,53;20,52;44,54;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"м";"поселок";88;7,33333333333333;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500156;"4";"5";"4";"5";"4";"4";4;5;"5";"4";"4";44,94;44,62;55,8;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";84;7;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500157;"5";"4";"5";"4";"4";"4";5;5;"5";"4";"4";49,65;65,11;48,07;10;"МАОУ ""СОШ"" п.Зоча им.героя Советского Союза А.И.Горева                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";83;6,91666666666667;"МАОУ ""СОШ"" п.Шимск им.героя Советского Союза А.И.Горева"
500158;"4";"4";"5";"2";"2";"3";4;4;"3";"3";"3";23;12,61;33,03;9;"МАОУ ""Рекаш""   Голецкого  муниципального  района                                                                                                                            ";"общеобразовательная школа";"м";"поселок";91;7,58333333333333;"МАОУ ""Выбити""   Солецкого  муниципального  района"
500159;"5";"4";"5";"4";"4";"4";5;5;"4";"5";"5";42,53;38,15;48,07;9;"МАОУ ""Рекаш""   Голецкого  муниципального  района                                                                                                                            ";"общеобразовательная школа";"ж";"поселок";85;7,08333333333333;"МАОУ ""Выбити""   Солецкого  муниципального  района"
500160;"4";"3";"3";"3";"3";"4";3;3;"3";"3";"2";13,65;12,61;33,03;9;"МАОУ ""Рекаш""   Голецкого  муниципального  района                                                                                                                            ";"общеобразовательная школа";"м";"поселок";NA;NA;"МАОУ ""Выбити""   Солецкого  муниципального  района"
500161;"2";"3";"3";"4";"4";"5";2;2;"5";"3";"3";40;28,83;41,01;9;"МАОУ ""Рекаш""   Голецкого  муниципального  района                                                                                                                            ";"общеобразовательная школа";"ж";"поселок";91;7,58333333333333;"МАОУ ""Выбити""   Солецкого  муниципального  района"
500162;"4";"4";"5";"3";"3";"4";5;4;"4";"3";"4";44,94;20,52;48,07;9;"МАОУ ""Рекаш""   Голецкого  муниципального  района                                                                                                                            ";"общеобразовательная школа";"ж";"поселок";NA;NA;"МАОУ ""Выбити""   Солецкого  муниципального  района"
500163;"4";"4";"5";"4";"4";"4";4;5;"3";"4";"5";42,53;26,68;51,76;9;"МАОУ ""Рекаш""   Голецкого  муниципального  района                                                                                                                            ";"общеобразовательная школа";"м";"поселок";90;7,5;"МАОУ ""Выбити""   Солецкого  муниципального  района"
500164;"5";"5";"5";"4";"4";"4";5;4;"4";"2";"4";44,94;56,85;55,8;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"ж";"город";NA;NA;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500165;"5";"5";"4";"4";"4";"4";4;4;"4";"2";"4";49,65;54,13;67,82;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";89;7,41666666666667;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500166;"1";"5";"1";"5";"5";"5";3;3;"5";"2";"3";33,94;51,88;67,82;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"ж";"город";84;7;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500167;"3";"3";"1";"1";"1";"1";2;2;"1";"1";"2";33,94;36,44;55,8;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";93;7,75;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500168;"3";"3";"3";"2";"2";"3";4;4;"3";"2";"3";42,53;52,61;51,76;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"ж";"город";77;6,41666666666667;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500169;"5";"3";"4";"3";"3";"4";4;4;"4";"2";"4";59,59;44,62;55,8;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";82;6,83333333333333;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500170;"2";"3";"4";"5";"5";"5";3;4;"5";"2";"4";54,41;39,89;78,82;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"ж";"город";79;6,58333333333333;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500171;"4";"4";"3";"1";"1";"3";3;3;"2";"2";"3";44,94;39,02;60,67;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";91;7,58333333333333;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500172;"5";"5";"4";"4";"4";"5";5;4;"5";"2";"4";49,65;39,89;48,07;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"ж";"город";NA;NA;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500173;"4";"3";"2";"2";"2";"3";3;4;"3";"2";"3";47,29;48,72;67,82;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";NA;NA;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500174;"5";"3";"5";"3";"3";"3";4;4;"4";"2";"4";52;54,97;41,01;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";89;7,41666666666667;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500175;"5";"4";"5";"4";"4";"3";4;4;"4";"2";"4";56,94;55,84;78,82;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";92;7,66666666666667;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500176;"5";"4";"4";"3";"3";"3";4;4;"4";"2";"4";54,41;54,13;48,07;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";87;7,25;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500177;"5";"4";"4";"4";"4";"4";4;4;"4";"2";"4";49,65;57,96;78,82;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"ж";"город";78;6,5;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500178;"5";"1";"3";"2";"2";"2";3;4;"3";"2";"3";44,94;54,13;55,8;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";NA;NA;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500179;"5";"4";"4";"3";"3";"3";3;4;"3";"2";"4";59,59;57,96;60,67;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";91;7,58333333333333;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500180;"4";"3";"3";"2";"2";"3";4;4;"2";"2";"3";37,24;38,15;55,8;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"ж";"город";88;7,33333333333333;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500181;"4";"2";"1";"1";"1";"1";1;3;"1";"1";"2";44,94;44,62;41,01;8;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";NA;NA;"МАОУ  ""Средняя  общеобразовательная школа №2"" г.Сольцы"
500182;"4";"1";"2";"1";"2";"2";2;3;"3";"1";"2";23;26,68;41,01;7;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Голецы                                                                                                                ";"общеобразовательная школа";"ж";"город";79;6,58333333333333;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Сольцы"
500183;"4";"4";"3";"4";"4";"3";3;3;"4";"2";"3";37,24;40,73;51,76;7;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";78;6,5;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Сольцы"
500184;"4";"3";"4";"3";"4";"2";4;4;"3";"2";"4";54,41;38,15;33,03;7;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";88;7,33333333333333;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Сольцы"
500185;"4";"4";"4";"3";"4";"2";3;4;"3";"2";"3";49,65;44,62;55,8;7;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";NA;NA;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Сольцы"
500186;"4";"4";"3";"4";"5";"4";2;3;"4";"2";"3";44,94;40,73;44,54;7;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Голецы                                                                                                                ";"общеобразовательная школа";"ж";"город";92;7,66666666666667;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Сольцы"
500187;"5";"5";"5";"5";"5";"4";4;5;"4";"3";"4";56,94;56,85;41,01;7;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Голецы                                                                                                                ";"общеобразовательная школа";"ж";"город";80;6,66666666666667;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Сольцы"
500188;"5";"5";"5";"5";"5";"4";4;5;"4";"2";"4";52;57,96;51,76;7;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Голецы                                                                                                                ";"общеобразовательная школа";"ж";"город";81;6,75;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Сольцы"
500189;"5";"5";"4";"3";"4";"3";3;3;"3";"2";"4";40;51,88;41,01;7;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";86;7,16666666666667;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Сольцы"
500190;"3";"3";"3";"3";"3";"3";3;3;"4";"1";"3";44,94;37,28;28,15;7;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";96;8;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Сольцы"
500191;"3";"2";"2";"1";"2";"3";2;4;"3";"1";"2";37,24;12,61;44,54;7;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";90;7,5;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Сольцы"
500192;"4";"3";"3";"3";"3";"2";3;3;"4";"1";"2";37,24;28,83;51,76;7;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";80;6,66666666666667;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Сольцы"
500193;"4";"3";"5";"4";"5";"1";2;3;"2";"3";"4";56,94;38,15;22,02;7;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";87;7,25;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Сольцы"
500194;"4";"2";"3";"2";"3";"3";4;3;"3";"1";"2";29,71;20,52;44,54;7;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Голецы                                                                                                                ";"общеобразовательная школа";"м";"город";NA;NA;"МАОУ  ""Средняя  общеобразовательная школа №1"" г.Сольцы"
500195;"5";"4";"5";NA;"4";"4";5;4;NA;NA;NA;49,65;57,96;44,54;6;"МАОУ ""Средняя общеобразовательная школа № 43""                                                                                                                               ";"Углублённое изучение предметов";"ж";"город";80;6,66666666666667;"МАОУ ""Средняя общеобразовательная школа № 33"""
500196;"4";"4";"3";NA;"3";"3";5;3;NA;NA;NA;54,41;56,85;55,8;6;"МАОУ ""Средняя общеобразовательная школа № 43""                                                                                                                               ";"Углублённое изучение предметов";"м";"город";81;6,75;"МАОУ ""Средняя общеобразовательная школа № 33"""
500197;"5";"5";"5";NA;"1";"1";4;1;NA;NA;NA;42,53;54,13;55,8;6;"МАОУ ""Средняя общеобразовательная школа № 43""                                                                                                                               ";"Углублённое изучение предметов";"м";"город";91;7,58333333333333;"МАОУ ""Средняя общеобразовательная школа № 33"""
500198;"5";"5";"4";NA;"2";"4";5;4;NA;NA;NA;69,29;57,96;41,01;6;"МАОУ ""Средняя общеобразовательная школа № 43""                                                                                                                               ";"Углублённое изучение предметов";"м";"город";NA;NA;"МАОУ ""Средняя общеобразовательная школа № 33"""
